Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8410940563,2.2879457665;"{""type"": ""Point"", ""coordinates"": [2.287945766499664, 48.84109405634958]}";4;42370;94;Boucicaut;BOUCICAUT;Boucicaut;2223;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108023;8;METRO;M8;3.0;110.0;RATP;0;1;0;647739.0763;6860351.7535
48.8523154274,2.38937812792;"{""type"": ""Point"", ""coordinates"": [2.389378127918612, 48.85231542739916]}";5;42374;98;Rue des Boulets;RUE DES BOULETS;Rue des Boulets;2233;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109079;9;METRO;M9;3.0;110.0;RATP;0;1;0;655193.1503;6861537.1145
48.8420053473,2.23888732579;"{""type"": ""Point"", ""coordinates"": [2.23888732579071, 48.84200534728088]}";6;42380;99;Boulogne-Jean Jaurès;BOULOGNE-JEAN JAURES;Boulogne-Jean Jaurès;2264;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110025;10;METRO;M10;3.0;110.0;RATP;0;1;0;644139.5371;6860486.666
48.8299902817,2.37574814434;"{""type"": ""Point"", ""coordinates"": [2.375748144341912, 48.82999028168356]}";11;45301;72;Bibliothèque François Mitterrand;BIBLIOTHEQUE FRANCOIS MITTERRAND;Bibliothèque François Mitterrand;2376;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;;14;6.0;14-383;14;METRO;M14;3.0;110.0;RATP;0;1;0;654173.3908;6859062.6022
48.8321105601,2.23863934858;"{""type"": ""Point"", ""coordinates"": [2.2386393485754, 48.83211056011021]}";12;42334;74;Billancourt;BILLANCOURT;Billancourt;2261;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109023;9;METRO;M9;3.0;110.0;RATP;0;1;0;644110.7295;6859386.6609
48.892082786,2.28500950275;"{""type"": ""Point"", ""coordinates"": [2.285009502746195, 48.89208278597479]}";22;42195;16;Anatole France;ANATOLE FRANCE;Anatole France;2051;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01536;;3;8.0;3-103079;3;METRO;M3;3.0;110.0;RATP;0;1;0;647574.9141;6866023.2122
48.8515102782,2.39830234427;"{""type"": ""Point"", ""coordinates"": [2.398302344267161, 48.85151027816435]}";30;42271;44;Avron;AVRON;Avron;2026;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01535;;2;7.0;2-102035;2;METRO;M2;3.0;110.0;RATP;0;1;0;655847.3058;6861442.5619
48.8834361881,2.34977444365;"{""type"": ""Point"", ""coordinates"": [2.349774443646268, 48.883436188059335]}";33;42280;50;Barbès-Rochechouart;BARBES-ROCHECHOUART;Barbès-Rochechouart;2079;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01537;;4;10.0;4-104037;4;METRO;M4;3.0;110.0;RATP;0;1;0;652315.6291;6865020.7075
48.8333385593,2.38663240207;"{""type"": ""Point"", ""coordinates"": [2.386632402066984, 48.83333855925166]}";46;45234;221;Cour Saint-Émilion;COUR SAINT-EMILION;Cour Saint-Émilion;2375;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;;14;6.0;14-114001;14;METRO;M14;3.0;110.0;RATP;0;1;0;654975.2848;6859428.6327
48.8579655912,2.43555571569;"{""type"": ""Point"", ""coordinates"": [2.435555715694055, 48.85796559116602]}";51;42789;228;Croix de Chavaux (Jacques Duclos);CROIX DE CHAVAUX (JACQUES DUCLOS);Croix de Chavaux;2227;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01542;;9;16.0;9-109091;9;METRO;M9;3.0;110.0;RATP;0;1;0;658586.0485;6862140.1552
48.8342929805,2.33285230996;"{""type"": ""Point"", ""coordinates"": [2.33285230996089, 48.83429298047319]}";57;42835;237;Denfert-Rochereau;DENFERT-ROCHEREAU;Denfert-Rochereau;2136;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-297;6;METRO;M6;3.0;110.0;RATP;0;1;0;651028.503;6859566.7636
48.8390411437,2.38962001134;"{""type"": ""Point"", ""coordinates"": [2.389620011336723, 48.83904114370005]}";58;42869;244;Dugommier;DUGOMMIER;Dugommier;2127;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01539;;6;12.0;6-106039;6;METRO;M6;3.0;110.0;RATP;0;1;0;655199.4896;6860061.0017
